flood_cat,1_pert,25_pert,50_pert,75_pert,any
Heavy rain,53.78333333333333,52.90163934426229,53.766666666666666,53.766666666666666,211.5737704918033
Ice jam or dam break,88.4,88.4,88.4,88.2,353.4
Snowmelt,60.22222222222222,60.22222222222222,60.111111111111114,60.111111111111114,240.66666666666666
Tropical cyclone,43.388888888888886,43.388888888888886,45.88235294117647,48.75,173.44444444444446
