flood_cat,Any,< 25th percentile,25th percentile,50th percentile,75th percentile
Heavy rain,2.222594585,2.00,2.06,2.35,2.64
Tropical cyclone,2.535449368,2.00,2.21,2.63,4.04
Snowmelt,2.9501893409999997,2.00,2.38,3.59,4.78
Ice jam or dam break,2.339277141,2.00,2.13,2.40,3.05
